"CNKEY";"CN_CODE";"LEVEL";"NAME_FR"
"020744100010";"";"6";"Morceaux"
"020744100080";"02074410";"7";"désossés"
"020744210010";"";"7";"non désossés"
"020744210080";"02074421";"8";"Demis ou quarts"
"020744310080";"02074431";"8";"Ailes entières, même sans la pointe"
"020744410080";"02074441";"8";"Dos, cous, dos avec cous, croupions, pointes d'ailes"
"020744510080";"02074451";"8";"Poitrines et morceaux de poitrines"
"020744610080";"02074461";"8";"Cuisses et morceaux de cuisses"
"020744710080";"02074471";"8";"Paletots"
"020744810080";"02074481";"8";"autres"
"020744910010";"";"6";"Abats"
"020744910080";"02074491";"7";"Foies, autres que les foies gras"
"020744990080";"02074499";"7";"autres"
"020745000080";"020745";"5";"autres, congelés"
"020745100010";"";"6";"Morceaux"
"020745100080";"02074510";"7";"désossés"
"020745210010";"";"7";"non désossés"
"020745210080";"02074521";"8";"Demis ou quarts"
"020745310080";"02074531";"8";"Ailes entières, même sans la pointe"
"020745410080";"02074541";"8";"Dos, cous, dos avec cous, croupions, pointes d'ailes"
"020745510080";"02074551";"8";"Poitrines et morceaux de poitrines"
"020745610080";"02074561";"8";"Cuisses et morceaux de cuisses"
"020745710080";"02074571";"8";"Paletots"
"020745810080";"02074581";"8";"autres"
"020745930010";"";"6";"Abats"
"020745930020";"";"7";"Foies"
"020745930080";"02074593";"8";"Foies gras"
"020745950080";"02074595";"8";"autres"
"020745990080";"02074599";"7";"autres"
"020751000010";"";"4";"d'oies"
"020751000080";"020751";"5";"non découpés en morceaux, frais ou réfrigérés"
"020751100080";"02075110";"6";"présentées plumées, saignées, non vidées, avec la tête et les pattes, dénommées « oies 82 % »"
"020751900080";"02075190";"6";"présentées plumées, vidées, sans la tête ni les pattes, avec ou sans le cœur et le gésier, dénommées « oies 75 % », ou autrement présentées"
"020752000080";"020752";"5";"non découpés en morceaux, congelés"
"020752100080";"02075210";"6";"présentées plumées, saignées, non vidées, avec la tête et les pattes, dénommées « oies 82 % »"
"020752900080";"02075290";"6";"présentées plumées, vidées, sans la tête ni les pattes, avec ou sans le cœur et le gésier, dénommées « oies 75 % », ou autrement présentées"
"020753000080";"02075300";"5";"Foies gras, frais ou réfrigérés"
"020754000080";"020754";"5";"autres, frais ou réfrigérés"
"020754100010";"";"6";"Morceaux"
"020754100080";"02075410";"7";"désossés"
"020754210010";"";"7";"non désossés"
"020754210080";"02075421";"8";"Demis ou quarts"
"020754310080";"02075431";"8";"Ailes entières, même sans la pointe"
"020754410080";"02075441";"8";"Dos, cous, dos avec cous, croupions, pointes d'ailes"
"020754510080";"02075451";"8";"Poitrines et morceaux de poitrines"
"020754610080";"02075461";"8";"Cuisses et morceaux de cuisses"
"020754710080";"02075471";"8";"Paletots"
"020754810080";"02075481";"8";"autres"
"020754910010";"";"6";"Abats"
"020754910080";"02075491";"7";"Foies, autres que les foies gras"
"020754990080";"02075499";"7";"autres"
"020755000080";"020755";"5";"autres, congelés"
"020755100010";"";"6";"Morceaux"
"020755100080";"02075510";"7";"désossés"
"020755210010";"";"7";"non désossés"
"020755210080";"02075521";"8";"Demis ou quarts"
"020755310080";"02075531";"8";"Ailes entières, même sans la pointe"
"020755410080";"02075541";"8";"Dos, cous, dos avec cous, croupions, pointes d'ailes"
"020755510080";"02075551";"8";"Poitrines et morceaux de poitrines"
"020755610080";"02075561";"8";"Cuisses et morceaux de cuisses"
"020755710080";"02075571";"8";"Paletots"
"020755810080";"02075581";"8";"autres"
"020755930010";"";"6";"Abats"
"020755930020";"";"7";"Foies"
"020755930080";"02075593";"8";"Foies gras"
"020755950080";"02075595";"8";"autres"
"020755990080";"02075599";"7";"autres"
"020760000080";"020760";"4";"de pintades"
"020760050080";"02076005";"5";"non découpés en morceaux, frais, réfrigérés ou congelés"
"020760100010";"";"5";"autres, frais, réfrigérés ou congelés"
"020760100020";"";"6";"Morceaux"
"020760100080";"02076010";"7";"désossés"
"020760210010";"";"7";"non désossés"
"020760210080";"02076021";"8";"Demis ou quarts"
"020760310080";"02076031";"8";"Ailes entières, même sans la pointe"
"020760410080";"02076041";"8";"Dos, cous, dos avec cous, croupions, pointes d'ailes"
"020760510080";"02076051";"8";"Poitrines et morceaux de poitrines"
"020760610080";"02076061";"8";"Cuisses et morceaux de cuisses"
"020760810080";"02076081";"8";"autres"
"020760910010";"";"6";"Abats"
"020760910080";"02076091";"7";"Foies"
"020760990080";"02076099";"7";"autres"
"020800000080";"0208";"3";"Autres viandes et abats comestibles, frais, réfrigérés ou congelés"
"020810000080";"020810";"4";"de lapins ou de lièvres"
"020810100080";"02081010";"5";"de lapins domestiques"
"020810900080";"02081090";"5";"autres"
"020830000080";"02083000";"4";"de primates"
"020840000080";"020840";"4";" de baleines, dauphins et marsouins (mammifères de l'ordre des Cetacea); de lamantins et dugongs (mammifères de l’ordre des Sirenia); d'otaries et phoques, lions de mer et morses (mammifères du sousordre des Pinnipedia)"
"020840100080";"02084010";"5";"Viande de baleine"
"020840200080";"02084020";"5";"Viande de phoque"
"020840800080";"02084080";"5";"autres"
"020850000080";"02085000";"4";"de reptiles (y compris les serpents et les tortues de mer)"
"020860000080";"02086000";"4";"de chameaux et d'autres camélidés (Camelidae)"
"020890000080";"020890";"4";"autres"
"020890100080";"02089010";"5";"de pigeons domestiques"
"020890300080";"02089030";"5";"de gibier, autres que de lapins ou de lièvres"
"020890600080";"02089060";"5";"de rennes"
"020890700080";"02089070";"5";"Cuisses de grenouilles"
"020890980080";"02089098";"5";"autres"
"020900000080";"0209";"3";"Lard sans parties maigres, graisse de porc et graisse de volailles non fondues ni autrement extraites, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés"
"020910000080";"020910";"4";"de porc"
"020910110010";"";"5";"Lard"
"020910110080";"02091011";"6";"frais, réfrigéré, congelé, salé ou en saumure"
"020910190080";"02091019";"6";"séché ou fumé"
"020910900080";"02091090";"5";"Graisse de porc"
"020990000080";"02099000";"4";"autres"
"021000000080";"0210";"3";"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats"
